timestamp,dist_error_mm,angle_error_deg,est_dist_param_m,gt_center_dist_m,visible_gt_tags
1768375080599812295,21.280106009341495,10.537810548917614,1.711181424466812,1.7353458958484909,2
1768375080649336357,13.074482238634388,5.959050836163354,1.7479979542964492,1.7369859479845593,2
1768375080724546449,35.62147236278368,4.754944742938061,1.7616576232018586,1.728427571395369,2
1768375080799983021,32.2702200717937,5.144805323179441,1.7616576232018586,1.7318047622732833,2
1768375080849435415,32.2702200717937,5.144805323179441,1.7616576232018586,1.7318047622732833,2
1768375080925411531,33.604653387313334,4.977781332858868,1.7616576232018586,1.730463646672749,2
1768375080999712504,33.582972564597526,4.950273978665656,1.7616576232018586,1.7304872878414255,2
1768375081053918729,33.582972564597526,4.950273978665656,1.7616576232018586,1.7304872878414255,2
1768375081124961689,23.858950047868976,5.274632886599568,1.7500378421209464,1.7293368641334783,2
1768375081199544146,7.197368108883717,6.326077307247423,1.7401777667999532,1.7369104021979664,2
1768375081249414413,7.197368108883717,6.326077307247423,1.7401777667999532,1.7369104021979664,2
1768375081329700002,8.836743808617209,6.1042225271486945,1.7401777667999532,1.73526367402028,2
1768375081400154350,15.742374952990135,5.491463243702236,1.7401777667999532,1.7282765988073425,2
1768375081449102961,10.396445065659954,6.108850027950189,1.7401777667999532,1.733607855901924,2
1768375081524702295,8.443460828718274,6.6940122653549885,1.7401777667999532,1.7355327093728095,2
1768375081603102160,15.377514198914977,5.743968395984195,1.7401777667999532,1.7285075244492947,2
1768375081651730553,19.43002504385083,5.215215270771388,1.7401777667999532,1.724415165713306,2
1768375081724391574,15.636211699169289,5.577651756973439,1.7401777667999532,1.7282106857865316,2
1768375081800072955,16.62905858635999,5.482081766062578,1.7401777667999532,1.7272077000788228,2
1768375081849341145,9.338809586658448,6.2860281595888665,1.7401777667999532,1.7345417630459514,2
1768375081927697955,10.060128572287885,6.100893928892287,1.7401777667999532,1.73379624348897,2
1768375081999734453,9.583731886329216,6.291311328248427,1.7401777667999532,1.734288314493781,2
1768375082049223858,12.717514275828679,5.912629407193255,1.7401777667999532,1.731129376877368,2
1768375082124479776,18.701716151197978,5.256385450820634,1.7401777667999532,1.725134669689799,2
1768375082204184393,15.943189328531115,5.741336932448911,1.7401777667999532,1.727946586898183,2
1768375082249505993,8.465958187825917,6.361987243709676,1.7401777667999532,1.735551445297841,2
1768375082324307986,13.578602826761044,5.573908914432884,1.7401777667999532,1.730483713574594,2
1768375082399349115,8.51897846336147,6.260383620164058,1.7401777667999532,1.7355867947202461,2
1768375082449296808,11.567447852605106,5.907952468583369,1.7401777667999532,1.7325478871827125,2
1768375082524364527,12.565237685318476,5.845433670552572,1.7401777667999532,1.7315430428671201,2
1768375082924436330,15.88292313644235,5.546801500178638,1.7470415959716772,1.7332594599813869,2
1768375082982569691,15.88292313644235,5.546801500178638,1.7470415959716772,1.7332594599813869,2
1768375083051671812,19.8532989113831,5.260349351780469,1.7470415959716772,1.7292446467582654,2
1768375083124631949,13.736224207415937,5.926822117052702,1.7470415959716772,1.7353704273147155,2
1768375083199208943,12.199543996057383,6.326626755583025,1.7470415959716772,1.736895703757976,2
1768375083257304632,12.199543996057383,6.326626755583025,1.7470415959716772,1.736895703757976,2
1768375083326549615,16.033471013976232,5.984355116551115,1.7470415959716772,1.7330424521639745,2
1768375083400559145,18.046832714300187,5.771455888259228,1.7470415959716772,1.7310223456675404,2
1768375083449403840,18.046832714300187,5.771455888259228,1.7470415959716772,1.7310223456675404,2
1768375083532141432,15.964340029659407,5.978423863738686,1.7470415959716772,1.7331109580610626,2
1768375083600659220,11.51055651807531,6.379142550472383,1.7470415959716772,1.737592348780779,2
1768375083650340729,8.899582139889173,6.657405145434538,1.7470415959716772,1.7402218244793901,2
1768375083724628276,19.7584213738895,5.376240068854703,1.7470415959716772,1.7292853461492463,2
1768375083807173031,18.133105754136956,5.311722067271792,1.7470415959716772,1.7309456136945924,2
1768375083849570844,21.935426353345555,4.930485711430843,1.7470415959716772,1.7271635016467595,2
1768375083999524922,19.426866232151283,5.156010672075412,1.7442561458694625,1.7281437850057604,2
1768375084049306340,17.247042014437277,5.437172564766326,1.7442561458694625,1.7303573902901697,2
1768375084124786405,18.292942807058175,5.399833889356478,1.7442561458694625,1.7293011951010488,2
1768375084201045677,9.912730534941128,6.519725092060554,1.7442561458694625,1.737742744046104,2
1768375084249195731,7.317587586981977,6.9666985688555725,1.7442561458694625,1.740343660607039,2
1768375084324236354,5.384322795906282,7.312799044803444,1.7442561458694625,1.7423077240368479,2
1768375084399971543,8.101150872050988,6.862987437448524,1.7442561458694625,1.7395691257294752,2
1768375084449405104,18.834367238623972,5.253485137913578,1.7442561458694625,1.728754996351102,2
1768375084524685412,7.9179437462868485,5.982602679028474,1.7316720550997415,1.7291278587501255,2
1768375084599242558,24.057300759257714,10.607043181628054,1.712921902038165,1.7336967661100753,2
1768375084649466569,23.661280330203205,10.148953990892215,1.712921902038165,1.734156923098197,2
1768375084724538885,24.291414273171608,10.646856280592457,1.712921902038165,1.7335877534552575,2
1768375084799322900,17.875532460163825,9.970663733290433,1.712921902038165,1.7399681407097662,2
1768375084849759485,19.013873345677055,10.044150881519974,1.712921902038165,1.7388921384670968,2
1768375084924363438,18.013665927508306,9.983454744898113,1.712921902038165,1.7398748919687643,2
