timestamp_sec,interval_sec,input_count,output_count,input_fps,output_fps,output_input_ratio,latency_mean_ms,latency_p95_ms,inference_mean_ms,inference_p95_ms
1766377854.427896,1.003238893,26,24,25.91606065256483,23.92251752544446,0.9230769230769231,65.01300041666667,66.3640841,12.89135375389686,13.572737455368042
1766377855.4278116,0.999915634,19,19,19.001603089246228,19.001603089246228,1.0,64.78682463157894,65.6510639,12.657255975823654,13.28011302947998
1766377856.4277294,0.999917706,26,24,26.002139820094357,24.001975218548637,0.9230769230769231,65.01058329166666,66.2409344,12.402582058539757,13.093236923217773
1766377857.4277258,0.999996332,22,20,22.000080696295992,20.000073360269084,0.9090909090909091,65.02553009999998,66.0586057,12.497492096640848,13.047953510284424
1766377858.4278028,1.000077159,20,21,19.99845693906104,20.99837978601409,1.05,65.24279442857144,66.691128,12.44157618568057,13.086394309997559
1766377859.4277174,0.999914369,26,25,26.0022265966657,25.002140958332404,0.9615384615384616,65.0148016,66.327343,12.352162475585937,13.057351303100585
1766377860.4277294,1.000012252,24,24,23.99970595560263,23.99970595560263,1.0,64.09360716666669,66.237551,12.558395942052206,13.17360587120056
1766377861.4276857,0.999956054,28,28,28.0012305420774,28.0012305420774,1.0,61.75751707142857,62.38275855,12.460837704794747,12.593299102783202
1766377862.427884,1.000198559,26,26,25.994838490864094,25.994838490864094,1.0,62.09884319230769,62.904250250000004,12.495603231283335,13.045699834823608
1766377863.4283676,1.000483405,24,24,23.98840388561967,23.98840388561967,1.0,62.66615299999999,64.1086845,12.53740111986796,13.382806062698364
1766377864.4283044,0.999936847,18,18,18.00113682579396,18.00113682579396,1.0,62.92076638888889,63.445448649999996,12.503181086646187,12.970346355438233
1766377865.429047,1.000742617,26,26,25.980706285840128,25.980706285840128,1.0,62.80429050000001,63.51153725,12.511779931875376,12.932667016983032
1766377866.429354,1.000307092,30,30,29.99079006829635,29.99079006829635,1.0,62.996133233333346,63.63460585,12.499123032887777,13.012866687774657
1766377867.427823,0.998469077,24,25,24.03679848765111,25.038331757969907,1.0416666666666667,63.47017852000001,64.65961899999999,12.492320098876952,13.051000976562499
1766377868.4277735,0.999950326,23,23,23.001142558755465,23.001142558755465,1.0,63.83254547826086,64.5472556,12.506135028341543,13.009351062774657
1766377869.4277518,0.999978287,26,26,26.00056455025808,26.00056455025808,1.0,64.32878473076923,65.41407525,12.550835389357347,13.379937648773193
1766377870.427769,1.000017134,26,26,25.999554523632796,25.999554523632796,1.0,64.36804411538462,65.69384775,12.560472708482008,13.465612411499023
1766377871.4277303,0.999961633,24,24,24.000920843329997,24.000920843329997,1.0,64.26879170833332,65.34048034999999,12.517315665880838,12.950768995285033
1766377872.4278128,1.000082271,29,27,28.99761433727086,26.99777886573494,0.9310344827586207,64.6396545925926,66.1200499,12.563341436714962,13.311381149291991
1766377873.427718,0.99990498,27,27,27.002565783800776,27.002565783800776,1.0,64.77264844444446,65.3649341,12.533560011121962,13.138919067382812
1766377874.4277205,1.00000256,24,24,23.999938560157286,23.999938560157286,1.0,65.00367795833333,65.68563125,12.533424059549967,13.420165061950684
1766377875.4277482,1.000027613,28,28,27.999226857348784,27.999226857348784,1.0,65.01363371428572,65.82027935,12.515189715794154,13.185557126998901
1766377876.427733,0.999985078,26,24,26.000387977789405,24.000358133344065,0.9230769230769231,64.20282545833332,65.6264733,12.541080291454609,13.253451824188232
1766377877.427769,1.000035765,22,15,21.99921319813997,14.999463544186343,0.6818181818181818,62.02046740000001,63.6011218,12.585676106539639,13.22302050590515
1766377878.4277256,0.999956799,24,24,24.00103686879377,24.00103686879377,1.0,61.945916624999995,63.16461275,12.511566360791525,13.174984407424926
1766377879.4277258,1.000000262,26,26,25.99999318800179,25.99999318800179,1.0,61.15530988461536,62.462325250000006,12.49097780080942,12.793665647506714
1766377880.4277163,0.999990391,23,24,23.000221009123678,24.000230618216012,1.0434782608695652,61.28558116666665,68.36774359999998,12.51701021194458,12.718970155715942
1766377881.4277573,1.000041102,26,26,25.998931391921932,25.998931391921932,1.0,60.69344015384616,61.7112725,12.548451533684364,13.167482614517212
1766377882.427734,0.999976742,28,28,28.00065123914652,28.00065123914652,1.0,61.105927357142846,61.862413950000004,12.367796897888184,12.889173698425292
1766377883.427724,0.999989671,28,28,28.0002892149873,28.0002892149873,1.0,61.511590035714285,62.389433350000004,12.399446521486555,12.973586130142213
1766377884.4277124,0.999988737,21,21,21.00023652566399,21.00023652566399,1.0,62.31848633333334,63.579568,12.561449459620885,13.199085235595703
1766377885.427688,0.999975293,26,26,26.000642397871726,26.000642397871726,1.0,62.84232307692309,64.18306600000001,12.546401610741249,13.20224142074585
1766377886.4277005,1.000012596,24,24,23.999697699807776,23.999697699807776,1.0,63.883722458333324,66.2460119,12.474265933036804,12.79015645980835
1766377887.4277773,1.000076977,28,26,27.99784480990007,25.997998752050066,0.9285714285714286,63.469220269230775,64.17160324999999,12.480885471616473,13.04460186958313
1766377888.4278123,1.000034942,25,23,24.999126480522516,22.999196362080713,0.92,64.29746313043479,65.91365549999999,12.418883628845215,12.489193153381347
1766377889.4277265,0.999914243,23,18,23.00197258016256,18.001543758388088,0.782608695652174,64.77904233333334,65.4246426,12.497128776882006,12.8636981010437
1766377890.4277055,0.999979107,26,26,26.00054322934969,26.00054322934969,1.0,65.30877946153846,65.998728,12.48301652761606,12.947285652160645
1766377891.4277174,1.000011753,30,30,29.999647414143944,29.999647414143944,1.0,65.6879928,66.80243709999999,12.483247375488281,12.979371261596679
1766377892.4277556,1.000038214,27,27,26.99896826142686,26.99896826142686,1.0,65.83569385185184,67.1607347,12.472830595793548,12.949411392211914
1766377893.4277096,0.999954179,21,21,21.000962285092864,21.000962285092864,1.0,65.24284761904762,66.151184,12.45026938120524,12.569244384765625
1766377894.427716,1.000006294,22,21,21.99986153287151,20.999867826831895,0.9545454545454546,65.82286485714287,66.636673,12.482248262925582,12.870176744461059
1766377895.427726,1.000009991,24,22,23.999760218395657,21.99978020019602,0.9166666666666666,65.23449322727271,65.81152365,12.447651505470276,12.47790813446045
1766377896.4276948,0.999968616,26,24,26.000816009609647,24.000753239639675,0.9230769230769231,64.57227566666666,66.70143775,12.48423121525691,12.822377681732178
1766377897.4277964,1.000101811,26,26,25.997353183475038,25.997353183475038,1.0,64.17271726923077,64.8261325,12.487885731917162,12.827246904373169
1766377898.4276972,0.999900501,24,22,24.002388213624865,22.002189195822794,0.9166666666666666,63.955898772727274,65.22300785,12.44257656733195,12.50008487701416
1766377899.4277806,1.000083613,26,24,25.997826243754282,23.997993455773184,0.9230769230769231,61.95866029166667,62.448615950000004,12.501329727172852,12.938476371765136
1766377900.427749,0.999968241,24,24,24.000762240207987,24.000762240207987,1.0,62.27166525000001,63.21867375,12.495377998352051,13.045221519470214
1766377901.4277763,1.00002725,27,28,26.99926427004864,27.99923702079118,1.037037037037037,62.423632607142856,63.32995305,12.439945291589808,12.705038070678711
1766377902.4277828,1.00000657,27,26,26.999822611165445,25.99982918112228,0.9629629629629629,62.655432384615395,63.108059749999995,12.42431171123798,12.482621908187866
1766377903.4278293,1.000046653,24,25,23.99888038023362,24.99883372941002,1.0416666666666667,62.52511908,63.6985208,12.446654510498046,12.4903413772583
1766377904.4277763,0.999947006,26,25,26.001377917021337,25.001324920212824,0.9615384615384616,62.09124540000002,63.313047,12.476089973449707,12.67021884918213
1766377905.42775,0.999973794,30,27,30.000786200603173,27.000707580542855,0.9,60.93748374074074,61.7480442,12.495726267496744,13.099848318099973
1766377906.4277847,1.000034444,28,28,27.999035601217752,27.999035601217752,1.0,61.651524071428575,63.128754449999995,12.531643560954503,13.248367071151733
1766377907.427775,0.999990379,26,26,26.00025014840668,26.00025014840668,1.0,62.031432846153855,63.27078175,12.442097700559176,12.478681564331055
1766377908.42779,1.000014959,26,26,25.999611071817977,25.999611071817977,1.0,62.34956361538461,63.28515725,12.48884626535269,12.986517429351807
1766377909.4277523,0.999962257,28,28,28.00105684388846,28.00105684388846,1.0,63.02854324999999,63.93383635,12.50876453944615,12.97193350791931
1766377910.4277875,1.000035285,24,25,23.999153189879692,24.99911790612468,1.0416666666666667,63.46907564000001,64.4197516,12.538726806640625,13.330006027221678
1766377911.427781,0.999993663,28,27,28.000177437124417,27.00017110008426,0.9642857142857143,64.08913114814816,65.2628398,12.544568203113696,13.28166971206665
1766377912.4277565,0.999975344,24,24,24.0005917585904,24.0005917585904,1.0,64.42108295833333,65.602509,12.510064641634623,13.111324167251587
1766377913.427791,1.000034538,28,28,27.999032969399305,27.999032969399305,1.0,64.95028271428572,67.2389572,12.468870673860822,12.693846702575684
